id,name,state_id
278,Candelaria Loxicha,20
279,Canelas,10
280,Cansahcab,31
281,Cantamayec,31
282,Capulálpam de Méndez,20
283,Capulhuac,15
284,Carácuaro,16
285,Carbó,26
286,Cardonal,13
287,Carichó,8
288,Carlos A. Carrillo,30
289,Carmen,4
290,Carmen,19
291,Carrillo Puerto,30
292,Casas,28
293,Casas Grandes,8
294,Casimiro Castillo,14
295,Castaños,5
296,Castillo de Teayo,30
297,Catazajá,7
298,Catemaco,30
299,Catorce,24
300,Caxhuacan,21
301,Cazones,30
302,Cedral,24
303,Celaya,11
304,Celestún,31
305,Cenotillo,31
306,Centla,27
307,Centro,27
308,Cerralvo,19
309,Cerritos,24
310,Cerro Azul,30
311,Cerro de San Pedro,24
312,Chacaltianguis,30
313,Chacsinkón,31
314,Chahuites,20
315,Chalcatongo de Hidalgo,20
316,Chalchicomula de Sesma,21
317,Chalchihuitán,7
318,Chalchihuites,32
319,Chalco,15
320,Chalma,30
321,Champotón,4
322,Chamula,7
323,Chanal,7
324,Chónipas,8
325,Chankom,31
326,Chapa de Mota,15
327,Chapab,31
328,Chapala,14
329,Chapantongo,13
330,Chapulco,21
331,Chapulhuacán,13
332,Chapultenango,7
333,Chapultepec,15
334,Charapan,16
335,Charcas,24
336,Charo,16
337,Chavinda,16
338,Chemax,31
339,Chenalhó,7
340,Cherán,16
341,Chiapa de Corzo,7
342,Chiapilla,7
343,Chiautempan,29
344,Chiautla,21
345,Chiautla,15
346,Chiautzingo,21
347,Chichimilá,31
348,Chichiquila,21
349,Chicoasén,7
350,Chicoloapan,15
351,Chicomuselo,7
352,Chiconamel,30
353,Chiconcuac,15
354,Chiconcuautla,21
355,Chiconquiaco,30
356,Chicontepec,30
357,Chicxulub Pueblo,31
358,Chietla,21
359,Chigmecatitlán,21
360,Chignahuapan,21
361,Chignautla,21
362,Chihuahua,8
363,Chikindzonot,31
364,Chila,21
365,Chila de La Sal,21
366,Chilón,7
367,Chilapa de álvarez,12
368,Chilchota,16
369,Chilchotla,21
370,Chilcuautla,13
371,Chilpancingo de los Bravo,12
372,Chimalhuacán,15
373,Chimaltitán,14
374,China,19
375,Chinameca,30
376,Chinampa de Gorostiza,30
377,Chinantla,21
378,Chinicuila,16
379,Chiquihuitlán de Benito Juárez,20
380,Chiquilistlán,14
381,Chocamán,30
382,Chocholá,31
383,Choix,25
384,Chontla,30
385,Chucándiro,16
386,Chumatlán,30
387,Chumayel,31
388,Churintzio,16
389,Churumuco,16
390,Ciénega de Flores,19
391,Ciénega de Zimatlán,20
392,Cihuatlán,14
393,Cintalapa,7
394,Citlaltépetl,30
395,Ciudad del Maíz,24
396,Ciudad Fernández,24
397,Ciudad Ixtepec,20
398,Ciudad Madero,28
399,Ciudad Valles,24
400,Coacalco de Berriozábal,15
401,Coacoatzintla,30
402,Coahuayana,16
403,Coahuayutla de José Maróa Izazaga,12
404,Coahuitlán,30
405,Coalcomán de Vázquez Pallares,16
406,Coapilla,7
407,Coatecas Altas,20
408,Coatepec,21
409,Coatepec,30
410,Coatepec Harinas,15
411,Coatlán del Río,17
412,Coatzacoalcos,30
413,Coatzingo,21
414,Coatzintla,30
415,Cocotitlán,15
416,Cocula,12
417,Cocula,14
418,Coeneo,16
419,Coetzala,30
420,Cohetzala,21
421,Cohuecán,21
422,Coicoyán de las Flores,20
423,Cojumatlán de Régules,16
424,Colón,22
425,Colima,6
426,Colipa,30
427,Colotlán,14
428,Comala,6
429,Comalcalco,27
430,Comapa,30
431,Comitán de Domónguez,7
432,Comondú,3
433,Comonfort,11
434,Compostela,18
435,Concepción Buenavista,20
436,Concepción de Buenos Aires,14
437,Concepción del Oro,32
438,Concepción Pápalo,20
439,Concordia,25
440,Coneto de Comonfort,10
441,Conkal,31
442,Constancia Del Rosario,20
443,Contepec,16
444,Contla de Juan Cuamatzi,29
445,Copándaro,16
446,Copainalá,7
447,Copala,12
448,Copalillo,12
